t_state,t_county,ordinance,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
AZ,Cochise,0,15,30.0,80.0,110.0,9503.32,135.0,-110.08839880000001,32.288584066666665
AZ,Coconino,0,62,99.2,80.0,82.5,5345.62,121.3,-112.28906437704917,35.429404393442624
AZ,Mohave,0,131,359.6,87.88763358778627,124.74137404580154,12265.46519389313,150.1813435114504,-114.40855741044274,35.79832317166413
AZ,Navajo,1,61,128.1,79.0,88.0,6082.12,123.10000000000001,-110.22574955737704,34.633203278688526
CA,Alameda,0,156,292.66,77.5,94.09615384615384,7420.6079487179495,124.6051282051282,-121.64608307085021,37.7556416659919
CA,Contra Costa,1,72,116.2,66.80555555555556,80.1,5346.081388888889,106.80277777777776,-121.68090245749158,37.79672441835017
CA,Imperial,0,94,222.78,80.0,108.0,9160.88,134.1,-116.04056671428569,32.7472633125
CA,Kern,1,1377,3479.23,79.34458037726012,94.27475320612575,7154.697542754992,126.51214164678215,-118.29188223347421,35.066156172173514
CA,Los Angeles,0,1,1.85,80.0,82.5,5345.62,121.3,-118.221596,34.691982
CA,Monterey,1,7,14.59,82.57142857142857,100.21428571428571,8154.314285714286,132.72857142857143,-121.35847114285716,36.442011
CA,Riverside,1,593,546.96,57.30129286115795,55.16065205171445,2650.6827131347195,84.9733558178752,-116.61028367939025,33.913940305637645
CA,San Bernardino,1,7,10.2,76.42857142857143,76.34285714285714,4611.24,114.65714285714284,-117.22669099999999,34.52793471428571
CA,San Diego,1,83,182.95,76.08433734939759,100.68072289156626,8030.2139759036145,126.45542168674697,-116.31079097590361,32.74853902409639
CA,San Joaquin,0,3,3.5,63.333333333333336,66.60000000000001,3526.156666666667,96.56666666666666,-121.46645866666667,37.681462333333336
CA,Shasta,0,44,101.2,80.0,93.0,6792.91,126.5,-121.7940564090909,40.890406704545455
CA,Solano,1,593,1125.65,74.86982747438059,84.34948761188222,5645.614273252043,117.05587300557791,-121.81505604143427,38.13889273159078
CA,Tehama,1,1,1.5,65.0,77.0,4656.63,103.6,-122.193886,40.111195
CA,Yolo,1,1,1.5,80.0,77.0,4656.63,118.6,-121.935188,38.687595
CO,Baca,0,2,3.0,80.0,70.5,3903.63,115.2,-102.650894,37.362293
CO,Bent,0,50,75.0,80.0,77.0,4656.63,118.6,-102.85971622000001,37.67288118
CO,Cheyenne,1,353,800.4,81.77053824362606,117.53541076487252,10887.663937677054,140.4883852691218,-102.57597798647951,38.99766127968066
CO,El Paso,1,145,249.2,80.0,103.0,8332.29,131.4,-104.22943111724138,38.997588296551726
CO,Elbert,1,464,850.2,80.0,101.3146551724138,8117.870625,130.6842672413793,-103.81309428688154,39.27658473848501
CO,Huerfano,0,81,157.06,81.1358024691358,105.67901234567901,8866.27049382716,134.0037037037037,-104.49252572936335,37.74055566531798
CO,Jefferson,1,6,7.1,83.33333333333333,91.66666666666667,6686.096666666667,129.16666666666666,-105.223292,39.907734000000005
CO,Kit Carson,0,683,1500.3600000000001,82.20644216691069,114.04685212298682,10357.697774524158,139.20863836017568,-102.62403243650175,39.12916936392464
CO,Las Animas,0,61,120.25999999999999,80.0,108.85245901639344,9383.574262295082,134.4377049180328,-104.4574491486759,37.704398497225725
CO,Lincoln,1,707,1250.8,80.83451202263083,98.56064356435644,7689.053858938091,130.11477668371234,-103.4574409968742,39.30775863325018
CO,Logan,0,703,1206.8,80.87268847795164,89.20270270270271,6497.634110953059,125.56749644381223,-103.14683702960659,40.91359562656313
CO,Prowers,0,147,241.5,80.0,95.02131743786624,7206.389709032128,127.54988886643768,-102.60594590964504,37.725557319121705
CO,Pueblo,0,1,1.8,80.0,100.0,7853.98,130.1,-104.621391,38.163395
CO,Weld,0,525,868.02,77.94666666666667,83.07178454332552,5891.0324334113975,119.49294301327087,-103.95222462960187,40.914577820093676
CT,Litchfield,0,2,5.0,91.7,103.0,8332.29,143.3,-73.1454545,41.963590499999995
DE,Sussex,1,1,2.0,78.0,90.0,6361.73,123.1,-75.164902,38.78289
IA,Adair,1,544,1224.29,86.23082983193277,104.77959277846942,8681.634598586039,138.64099173928832,-94.54936169620562,41.29192192843256
IA,Adams,0,293,729.48,83.27918088737201,106.11180887372015,8929.523518088736,136.36353583617745,-94.7178084342303,41.08861416168852
IA,Appanoose,0,2,5.6,89.0,127.0,12667.69,152.5,-92.8531075,40.7013055
IA,Audubon,0,202,503.0,84.6053748231966,117.8048090523338,10972.2098679868,143.53429200062865,-94.80310832991513,41.679097359696684
IA,Boone,1,85,170.0,95.0,110.0,9503.32,150.0,-94.13121390909092,42.09733575
IA,Bremer,0,1,0.95,74.33333333333333,53.333333333333336,2234.72,101.06666666666666,-92.39191933333332,42.74350866666666
IA,Buena Vista,0,106,159.0,65.8,78.28,4868.679999999999,105.06,-95.34541856666667,42.573404
IA,Calhoun,0,13,29.9,80.0,101.0,8011.85,130.5,-94.762128875,42.55341725
IA,Carroll,0,175,283.32,80.0,90.65142857142857,6470.581714285713,125.37885714285716,-94.98039232496896,42.13081651925465
IA,Cass,1,272,623.88,80.0,98.68933823529412,7660.300698529412,129.3452205882353,-94.74901295893422,41.28723870392948
IA,Cedar,1,2,6.0,96.0,116.0,10568.32,153.95,-91.232693,41.852642
IA,Cerro Gordo,0,21,46.8,80.53571428571429,115.91071428571429,10560.629226190476,138.58214285714286,-93.38365319642857,43.077493380952376
IA,Cherokee,1,82,212.04,87.35365853658537,124.98780487804878,12283.658902439025,149.78414634146344,-95.77716641463415,42.86866564634146
IA,Clay,1,131,320.3,89.16030534351145,113.86259541984732,10225.861984732825,146.1916030534351,-95.30729468447836,43.17373571755725
IA,Crawford,0,116,204.2,79.13793103448276,87.0,5944.68,122.62413793103448,-95.28715298476342,42.15233496391339
IA,Delaware,1,40,105.75999999999999,93.225,114.7,10464.4105,150.535,-91.46416602500001,42.493524750000006
IA,Dickinson,1,218,453.95000000000005,83.5769622833843,99.18119266055047,8012.434036697248,133.21962283384303,-95.30124735035677,43.315580382059125
IA,Emmet,0,1,1.65,70.0,82.0,5281.02,110.9,-94.81562,43.385403
IA,Fayette,0,15,37.5,100.0,100.0,7853.98,150.0,-92.02945913333333,42.93115246666666
IA,Floyd,1,50,75.0,80.0,91.5,6575.55,125.9,-92.72640729999999,43.03166024
IA,Franklin,0,262,499.90999999999997,82.33587786259542,95.36641221374046,7460.517938931298,129.99809160305344,-93.31878684732824,42.67196245038168
IA,Greene,1,202,412.7,94.56930693069307,107.56683168316832,9118.549207920792,148.35742574257426,-94.22457957884568,42.09615923279401
IA,Grundy,1,95,231.58999999999997,81.57894736842105,111.78947368421052,9839.464210526314,137.57368421052632,-92.95607,42.37222856842105
IA,Guthrie,0,87,200.1,80.0,108.0,9160.88,134.1,-94.6640006825397,41.55597747619048
IA,Hamilton,0,100,150.0,66.61458333333333,74.75,4469.021145833333,104.084375,-93.66316792708334,42.52483752083334
