t_state,t_county,eia_id,p_year,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat,ordinance
AZ,Cochise,58833,2015,15,30.0,80.0,110.0,9503.32,135.0,-110.08839880000001,32.288584066666665,0
AZ,Coconino,58155,2012,62,99.2,80.0,82.5,5345.62,121.3,-112.28906437704917,35.429404393442624,0
AZ,Mohave,57775,2011,5,10.0,78.0,90.0,6361.73,123.1,-114.0678696,35.145736,0
AZ,Mohave,63114,2020,126,349.6,88.28,126.12,12499.7404,151.256,-114.422076768,35.824219488000004,0
AZ,Navajo,57098,2009,30,63.0,79.0,88.0,6082.12,123.1,-110.2845757,34.65490176666666,1
AZ,Navajo,57379,2010,31,65.1,79.0,88.0,6082.12,123.1,-110.16882103225807,34.612204741935486,1
CA,Alameda,56271,2004,31,20.46,60.0,47.0,1734.94,83.5,-121.63180512903226,37.763413096774194,0
CA,Alameda,57700,2011,34,78.2,80.0,101.0,8011.85,130.5,-121.657784,37.791996,0
CA,Alameda,60049,2015,48,85.9,80.0,100.0,7853.98,130.1,-121.63258710416666,37.715633958333335,0
CA,Alameda,61222,2017,20,46.0,80.0,116.0,10568.32,138.1,-121.63983405263158,37.76890289473684,0
CA,Alameda,64326,2021,23,62.1,90.0,116.0,10568.32,148.09130434782608,-121.68162965217391,37.76338878260869,0
CA,Contra Costa,56446,2006,38,38.0,55.0,61.4,2960.92,85.6,-121.65827681578948,37.800947842105266,1
CA,Contra Costa,57700,2011,34,78.2,80.0,101.0,8011.849999999999,130.5,-121.70618993939394,37.79200412121212,1
CA,Imperial,57514,2013,94,222.78,80.0,108.0,9160.88,134.1,-116.0405667142857,32.7472633125,0
CA,Kern,50386,2009,2,3.0,80.0,77.0,4656.63,118.6,-118.334381,35.091591,1
CA,Kern,50536,2021,23,63.3,87.82608695652173,125.56521739130434,12393.859130434783,150.53478260869565,-118.24118878260869,35.2433362173913,1
CA,Kern,50754,2002,8,0.78,80.0,77.0,4656.63,118.5,-118.364388,35.034294,1
CA,Kern,52163,2021,13,44.85,87.0,126.0,12468.98,150.0,-118.33141384615384,35.09998853846154,1
CA,Kern,54298,2005,9,13.5,65.0,76.07142857142857,4549.058571428572,103.04285714285713,-118.34272985714286,35.061535285714285,1
CA,Kern,56302,2020,21,72.0,82.0,136.0,14526.72,150.0,-118.29041291666665,35.063499416666666,1
CA,Kern,56433,2010,80,120.0,66.66666666666667,77.0,4656.63,105.26666666666667,-118.18995886666667,35.26060947777778,1
CA,Kern,57282,2010,100,150.0,80.0,77.0,4656.63,118.6,-118.37162192,35.03753038,1
CA,Kern,57291,2012,56,168.0,80.0,90.0,6361.73,125.0,-118.24434677551021,34.99399889795919,1
CA,Kern,57292,2012,56,168.0,80.0,90.0,6361.73,125.0,-118.24330174,35.00699858,1
CA,Kern,57293,2012,56,168.0,80.0,90.0,6361.73,125.0,-118.24593038235294,35.01441588235294,1
CA,Kern,57294,2012,56,168.0,80.0,90.0,6361.7300000000005,125.0,-118.240493625,35.020615678571424,1
CA,Kern,57484,2012,126,189.0,65.0,77.0,4656.63,103.6,-118.46127135714286,34.93270171428572,1
CA,Kern,57621,2014,30,99.0,84.0,112.0,9852.03,139.9,-118.219178,35.08479646666667,1
CA,Kern,57757,2012,70,143.5,78.5,92.5,6720.06,124.7,-118.42780334285713,34.896789385714285,1
CA,Kern,57774,2012,60,120.0,67.0,82.68333333333334,5378.499833333333,108.38000000000001,-118.32579916666667,35.036366683333334,1
CA,Kern,57833,2012,56,168.0,80.0,90.0,6361.73,125.0,-118.24762394,35.03168986,1
CA,Kern,57834,2012,56,168.0,80.0,90.0,6361.7300000000005,125.0,-118.27303596428571,35.04580117857143,1
CA,Kern,57837,2012,56,168.0,80.0,90.0,6361.73,125.0,-118.22007696,35.06221848,1
CA,Kern,57962,2012,34,102.0,80.0,90.0,6361.73,125.0,-118.3063410882353,35.05694670588235,1
CA,Kern,58154,2012,100,162.0,80.0,100.0,7853.98,130.1,-118.18634645,35.335578070000004,1
CA,Kern,58394,2013,48,136.8,85.0,103.0,8332.29,136.6,-118.23220844444444,35.09866317777777,1
CA,Kern,58395,2013,48,136.8,80.96153846153847,100.57692307692308,7945.962692307692,131.35,-118.36958342307692,35.08714736538462,1
CA,Kern,59236,2015,30,99.0,84.0,112.0,9852.03,139.9,-118.24824086666668,35.05874993333334,1
CA,Kern,60594,2019,38,131.1,94.0,112.0,9852.03,150.0,-118.28446586842105,35.051078,1
CA,Kern,61582,2018,54,193.5,91.5,117.0,10751.32,150.0,-118.26617147916666,35.072893,1
CA,Kern,61584,2018,54,193.5,94.0,112.0,9852.03,150.0,-118.26433566666667,35.06691166666666,1
CA,Kern,63482,2021,16,57.6,82.0,136.0,14526.72,150.0,-118.35137075,35.086023625,1
CA,Kern,63941,2020,21,72.0,94.0,112.0,9852.03,150.0,-118.29802699999999,35.064224249999995,1
CA,Los Angeles,61066,2017,1,1.85,80.0,82.5,5345.62,121.3,-118.221596,34.691982,0
CA,Monterey,59329,2014,1,1.85,80.0,82.5,5345.62,121.3,-121.340164,36.42094,1
CA,Monterey,59330,2014,1,1.85,80.0,82.5,5345.62,121.3,-121.451797,36.50515,1
CA,Monterey,61067,2017,1,1.85,80.0,82.5,5345.62,121.3,-121.191589,36.274509,1
CA,Monterey,61443,2019,1,1.7,80.0,100.0,7853.98,130.1,-121.453575,36.503963,1
CA,Monterey,62654,2022,2,5.64,89.0,127.0,12667.69,152.5,-121.3507115,36.4576395,1
CA,Monterey,65525,2018,1,1.7,80.0,100.0,7853.98,130.1,-121.37075,36.474236,1
CA,Riverside,10718,2004,12,11.7,56.5,73.75,3903.6299999999997,91.0,-116.55793783333333,33.920293,1
CA,Riverside,16630,2011,2,31.0,80.0,90.0,6361.73,125.0,-116.610489,33.9248965,1
CA,Riverside,50281,2016,147,31.0,38.888888888888886,40.55555555555556,1286.4807407407407,59.8,-116.62374829629628,33.92520574074074,1
CA,Riverside,50533,2020,13,39.0,92.0,112.0,9852.03,148.0,-116.62473438461538,33.93993984615385,1
CA,Riverside,50553,2008,8,20.0,80.0,93.0,6792.91,126.5,-116.463762375,33.882781875,1
CA,Riverside,54454,2011,33,49.5,65.0,77.0,4656.63,103.6,-116.58736033333334,33.91820554545454,1
CA,Riverside,55719,2001,111,66.6,55.0,45.0,1590.43,77.4,-116.59034951724138,33.90082596551724,1
CA,Riverside,56011,2002,62,40.92,65.0,47.0,1734.94,88.4,-116.7329287419355,33.91161920967742,1
CA,Riverside,56012,2002,41,61.5,65.0,65.0,3318.31,97.5,-116.62100446341464,33.92611721951219,1
CA,Riverside,56112,2003,34,22.44,60.0,47.0,1734.94,83.5,-116.59109490909091,33.91435818181818,1
CA,Riverside,56791,2008,45,45.0,69.0,61.4,2960.92,99.7,-116.56860633333332,33.93759251111111,1
CA,Riverside,57302,2009,13,6.5,39.5,40.0,1256.64,59.39999999999999,-116.582489,33.905132615384616,1
CA,Riverside,57459,2012,49,49.0,60.0,61.4,2960.9200000000005,90.8,-116.560699,33.8828086122449,1
CA,Riverside,58113,2012,2,3.2,80.0,82.5,5345.62,121.3,-116.81323599999999,33.915895500000005,1
CA,Riverside,58114,2012,2,3.0,80.0,82.5,5345.62,121.3,-116.749889,33.916994,1
CA,Riverside,58233,2012,2,6.0,80.0,90.0,6361.73,125.0,-116.555588,33.9080945,1
CA,Riverside,64323,2021,17,60.6,92.08823529411765,115.82352941176471,10539.722352941177,150.0,-116.56919682352941,33.89510341176471,1
CA,San Bernardino,52161,2012,2,3.0,80.0,77.0,4656.63,118.6,-117.11113,34.621078,1
CA,San Bernardino,55853,2011,1,1.0,55.0,61.4,2960.92,85.6,-117.52639,34.084896,1
CA,San Bernardino,58101,2012,2,3.2,80.0,82.5,5345.62,121.3,-117.3065375,34.5610465,1
CA,San Bernardino,58102,2012,2,3.0,80.0,77.0,4656.63,118.6,-117.112556,34.623199,1
CA,San Diego,56295,2005,25,50.0,67.0,87.0,5944.68,110.6,-116.33858424,32.71703076,1
CA,San Diego,57913,2018,57,131.1,80.0,107.0,8992.02,133.5,-116.29788994736842,32.76318375438596,1
CA,San Diego,59328,2014,1,1.85,80.0,82.5,5345.62,121.3,-116.351318,32.701496,1
CA,San Joaquin,57594,2010,1,1.5,80.0,77.0,4656.63,118.5,-121.35656,37.616653,0
CA,San Joaquin,57626,2011,2,2.0,55.0,61.4,2960.92,85.6,-121.52140800000001,37.713867,0
CA,Shasta,56654,2010,44,101.2,80.0,93.0,6792.91,126.5,-121.7940564090909,40.890406704545455,0
CA,Solano,7526,2007,21,63.0,69.03846153846153,70.98076923076923,4315.265192307692,104.51346153846154,-121.77022651923077,38.112415,1
CA,Solano,54453,2006,100,150.0,80.0,77.0,4656.63,118.59999999999998,-121.83937316666668,38.14075233333333,1
CA,Solano,56075,2003,90,162.0,60.0,80.0,5026.55,100.0,-121.802868,38.1308894,1
CA,Solano,56362,2006,100,150.0,76.4,77.0,4656.63,115.0,-121.85265331000001,38.14785891,1
CA,Solano,56874,2009,75,150.0,74.94,92.5,6720.06,121.096,-121.79133833333333,38.16335034666667,1
CA,Solano,57201,2010,16,36.8,80.0,93.0,6792.91,126.5,-121.7969866875,38.16170125,1
CA,Solano,57586,2011,50,102.5,77.7,92.5,6720.06,123.89200000000001,-121.76176866,38.16509526,1
CA,Solano,57701,2012,34,78.2,80.0,93.0,6792.91,126.5,-121.8217953529412,38.11861561764706,1
CA,Solano,57725,2012,50,102.5,77.5,92.5,6720.06,123.69,-121.85037058,38.1350899,1
CA,Solano,58092,2012,55,127.8,80.0,90.0,6361.73,125.0,-121.78426125454546,38.08777863636363,1
CA,Solano,58104,2012,1,1.0,55.0,61.4,2960.92,85.6,-121.81749,38.420094,1
CA,Solano,59331,2014,1,1.85,72.5,79.75,5001.125,112.44999999999999,-122.090683,38.2329005,1
CA,Tehama,58105,2012,1,1.5,65.0,77.0,4656.63,103.6,-122.193886,40.111195,1
